type,sp1,sp2,dist_cent,jaccard,sorensen,uniq_sp1,uniq_sp2
presence,Blue Crab,Brown Shrimp,0.37835079489008344,0.7035210390044645,0.8259610804872727,0.28108166116878447,0.02954363490792641
presence,Blue Crab,White Shrimp,0.35606122100549603,0.7614938517871871,0.8646000677374901,0.2125812659272736,0.041444043321299605
presence,Brown Shrimp,White Shrimp,0.17735497312328874,0.8414205796587394,0.9138820201680111,0.036366040729965576,0.1309847997540674
weighted,Blue Crab,Brown Shrimp,0.7362440759673656,0.499674452123977,0.6663772279594309,0.4847158214519492,0.057160883280757024
weighted,Blue Crab,White Shrimp,0.6761346318460167,0.5639606779801318,0.7211954698355866,0.3897161526268353,0.11862549800796819
weighted,Brown Shrimp,White Shrimp,0.48234149191200515,0.6809432920876934,0.810191867022447,0.08166458072590746,0.27516499749760054
