BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
BLK,2007,2008,1,TT,-7.814801226794104,0.573432102638794,5.765030565022362e-4
BLK,2007,2008,1,HW,-7.282028529314907,0.7065020025425621,0.0010309743286375614
BLK,2007,2008,1,SF,-2.5121695632328573,0.7510639022760356,0.14845182994266456
BLK,2007,2008,1,TMA,-8.041368354275022,0.8551506662584913,6.435293061608995e-4
BLK,2007,2008,1,TDR,-7.455279124306675,0.6419882909850612,9.24873387627446e-4
BLK,2007,2008,1,sg_rich,-8.001352625475183,0.8419269263375535,6.697939715676685e-4
BLK,2007,2009,2,TT,-4.65022263953234,1.4982592640429737,0.0058617341418598316
BLK,2007,2009,2,HW,-4.552182799017064,1.4111141103414184,0.00574153962996508
BLK,2007,2009,2,SF,1.0953399306682714,1.458770083851812,0.40318801070249527
BLK,2007,2009,2,TMA,-5.2661961275341085,1.086448448688782,0.004854455831858444
BLK,2007,2009,2,TDR,-5.161721993357583,0.786515260313764,0.00449024293256466
BLK,2007,2009,2,sg_rich,-4.443650372166232,1.3873285613185902,0.0057507079417183134
BLK,2007,2010,3,TT,2.297121676746281,3.13206065645544,0.11470734772802497
BLK,2007,2010,3,HW,2.418351957386541,2.896058180955765,0.10518581100494999
BLK,2007,2010,3,SF,1.3631278727844633,2.9991625468205694,0.24687622836059206
BLK,2007,2010,3,TMA,0.843743280626738,2.6733320426301486,0.31110454301865187
BLK,2007,2010,3,TDR,1.30907947914486,1.378471330813481,0.24235741373137723
BLK,2007,2010,3,sg_rich,2.048530975327189,2.8193295313764954,0.1319184115117819
BLK,2007,2011,4,TT,-1.2196932955831394,1.1284368410054244,0.22155892041170475
BLK,2007,2011,4,HW,-0.4208070955482535,0.9028542308671862,0.34376072983007905
BLK,2007,2011,4,SF,-0.7527865846269557,1.0065081622507672,0.3874966796543135
BLK,2007,2011,4,TMA,-2.1671307328027765,0.6184910972826774,0.1461480100535652
BLK,2007,2011,4,TDR,-1.6581428835132337,0.8638120078745026,0.19311560112680295
BLK,2007,2011,4,sg_rich,-1.1271288961661947,0.9942515112269491,0.2293267978033331
BLK,2007,2012,5,TT,-6.125216754245082,0.7941459289287075,0.0026416642929281966
BLK,2007,2012,5,HW,-6.705504941004006,0.9922904348542622,0.0015137666765231283
BLK,2007,2012,5,SF,-1.3660118338365148,1.0009242523235204,0.2873963164234456
BLK,2007,2012,5,TMA,-7.176435199650913,0.7225246683279589,0.001057574822825485
BLK,2007,2012,5,TDR,-6.997021902409101,0.9386605488366744,0.001705696449227178
BLK,2007,2012,5,sg_rich,-6.997312052949116,1.0395017313102335,7.308008847032205e-4
BLK,2007,2013,6,TT,0.8544481186263028,0.553676810653315,0.3648872566847822
BLK,2007,2013,6,HW,0.3213446591447155,0.8585376211355426,0.3216851011446875
BLK,2007,2013,6,SF,-1.1108937868892312,0.8341083281080763,0.38173054524555783
BLK,2007,2013,6,TMA,-0.27112880712434434,0.7018320968356886,0.3330543967167634
BLK,2007,2013,6,TDR,0.020738927208575904,0.7854700983617786,0.3171076606866382
BLK,2007,2013,6,sg_rich,-0.10546868691019386,0.8681279716090757,0.30856262991827976
BLK,2007,2014,7,TT,-0.6298728110465434,0.6377514003170875,0.35982018317947134
BLK,2007,2014,7,HW,-0.09444881384286315,0.6269006669417042,0.40759355277587367
BLK,2007,2014,7,SF,-1.5001657492676574,0.6343721578701625,0.32002084906648165
BLK,2007,2014,7,TMA,-0.9656875017920119,0.6548964780225431,0.3366049057848002
BLK,2007,2014,7,TDR,0.09211715181932263,0.4657685343995548,0.4399259572086541
BLK,2007,2014,7,sg_rich,-0.5198619509488733,0.726825866243672,0.3670564369800298
BLK,2007,2015,8,TT,0.7906077162623093,0.7934726314345504,0.3964700916949975
BLK,2007,2015,8,HW,0.3751668837365038,0.9120529597495058,0.35637720508035886
BLK,2007,2015,8,SF,-0.02236633112015876,0.9493562809465047,0.4700878552704168
BLK,2007,2015,8,TMA,-0.4836584340491737,0.6164430276186206,0.44072772757304496
BLK,2007,2015,8,TDR,-0.21493314909846697,0.7485828415714562,0.42662296785527926
BLK,2007,2015,8,sg_rich,0.30252207794518887,0.8772716582161321,0.3712725621210501
BLK,2007,2016,9,TT,-0.8437605252239415,1.4319035772771276,0.22992660518149902
BLK,2007,2016,9,HW,0.32333218818416454,1.2597472696457261,0.3319141351552704
BLK,2007,2016,9,SF,-1.4583277434662714,1.3978798681808398,0.1878987067978408
BLK,2007,2016,9,TMA,-2.0149497625174893,1.035623338897117,0.1440128758725719
BLK,2007,2016,9,TDR,-2.1468663032207993,1.1523718985686213,0.11817253377954937
BLK,2007,2016,9,sg_rich,-1.0302258752881024,1.3551888597495185,0.1985759492577949
BLK,2007,2017,10,TT,0.4166741233028686,0.6084007569534045,0.24138252919235356
BLK,2007,2017,10,HW,0.7509011501157553,0.6155480024369827,0.21033853861667967
BLK,2007,2017,10,SF,-2.4405051474261765,0.7347258251638173,0.13492706747618274
BLK,2007,2017,10,TMA,-0.5489758378639858,0.7683322623251948,0.15485298252374818
BLK,2007,2017,10,TDR,-0.5231612813276137,0.7460119956433162,0.17111049691110125
BLK,2007,2017,10,sg_rich,-0.11126362124915846,0.7867756177260048,0.17918021183429786
BLK,2007,2018,11,TT,0.16228508014972604,1.2759124081564475,0.29640051449858595
BLK,2007,2018,11,HW,0.8248415402772922,1.1428114711336281,0.29505849828154135
BLK,2007,2018,11,SF,-1.1064828299066696,1.2971488027606233,0.2827702102594243
