BASIN,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
BLK,2007,2008,1,-8.238357050726878,0.7363850558873651,1.0929059555195796e-4,2.185573048459071e-4,0.9998906924632452,0.5864546759145678
BLK,2007,2009,2,-4.5812032634438395,1.3824692652269328,0.00239128528740491,0.00477116136682949,0.9975899848528628,0.7647058823529412
BLK,2007,2010,3,2.0724552692936973,2.998256934222279,0.04915648163805499,0.09370667292891648,0.5809294871794872,0.9472489369466112
BLK,2007,2011,4,-1.4767337613874862,0.9860844637471772,0.07991781508305455,0.14800721678419246,0.9090952682148222,0.6019626615605552
BLK,2007,2012,5,-7.05808354632139,0.971171893194386,4.0134771499584425e-4,8.023733992613215e-4,0.9995984681091106,0.5333333333333333
BLK,2007,2013,6,0.01452903889939316,0.7950880312019803,0.16663091198979427,0.2856617466197432,0.7122479094933596,0.7163984461433226
BLK,2007,2014,7,-0.7148387723118041,0.622575489928647,0.1803242443472418,0.3055503523050432,0.7724763622451768,0.5349741908830762
BLK,2007,2015,8,0.1645260320770573,0.8606157977307517,0.17965018957501358,0.3045821399642808,0.6681829997400571,0.718521074199948
BLK,2007,2016,9,-1.400448568523016,1.369133526860333,0.07006396157535658,0.130952847850717,0.9183845298169788,0.668884453315591
BLK,2007,2017,10,-0.4796281901272483,0.7015901474506919,0.09281704497676956,0.16986749136721713,0.8624911187626386,0.7778580268935144
BLK,2007,2018,11,-0.3734827784432092,1.2395044803960529,0.12905500822899002,0.22860712239596329,0.8070175438596491,0.7196378774545209
BLK,2007,2019,12,-6.48056758579986,0.8922299271389178,4.922188183880795e-4,9.839533164373933e-4,0.9995072691709072,0.6785714285714286
BLK,2007,2021,14,1.181397122372593,1.1086637816667029,0.13342199125836926,0.2354321555208911,0.4986561548109658,0.8461627752845632
BLK,2007,2022,15,2.309670462215389,1.1022190808724537,0.06249859185801781,0.1176445641188568,0.3487723214285714,0.935337020190262
BLK,2007,2023,16,0.7765878585496759,1.8552497123353615,0.10922920399781896,0.19694613810047815,0.687442396313364,0.8562319947945523
BLK,2008,2009,1,3.657153787283038,1.8050584263789795,3.7819070582552616e-4,7.560954633740874e-4,0.9849722652652982,0.999612196422512
BLK,2008,2010,2,10.310812320020574,3.3858107041195087,0,0,0,1
BLK,2008,2011,3,6.761623289339392,1.185162849825823,8.815467471777133e-4,0.00176154061395717,0.23809523809523817,0.9991182103344438
BLK,2008,2012,4,1.1802735044054875,0.9336918797439234,0.00191434762959452,0.00382137980980836,0.991869509248535,0.997502356267672
BLK,2008,2013,5,8.252886089626271,0.8352244753406288,1.0418596687030732e-4,2.0835022657081175e-4,0.5999999999999999,0.9998957977485112
BLK,2008,2014,6,7.523518278415073,0.4494984053045422,3.7809870284778274e-4,7.559115965014607e-4,0.30000000000000004,0.9996218400192388
BLK,2008,2015,7,8.402883082803935,1.0132928637401353,2.2421994673315775e-4,4.483393668373648e-4,0,0.9997757800532668
BLK,2008,2016,8,6.837908482203861,1.5321807646673509,5.895046668969161e-4,0.00117831471177216,0.45,0.9994102108648276
BLK,2008,2017,9,7.758728860599629,0.614148591488977,1.600819074126068e-4,3.201125705943261e-4,0.625,0.9998398753708272
BLK,2008,2018,10,7.864874272283669,1.2803150950472286,3.291227398215963e-4,6.580289073663183e-4,0.1428571428571429,0.9996708592055584
BLK,2008,2019,11,1.7577894649270176,0.9058474899327548,0.00185089588042877,0.00369495278796392,0.9874378939905532,0.9978339713882732
BLK,2008,2021,13,9.41975417309947,1.283919192945307,8.110595488420495e-5,1.6219875448354647e-4,0,0.9999188940451158
BLK,2008,2022,14,10.548027512942268,1.262039275264059,0,0,0,1
BLK,2008,2023,15,9.014944909276553,1.858066962216436,6.078588943591066e-5,1.2156438947228352e-4,0.5,0.9999392104154152
BLK,2009,2010,1,6.653658532737537,1.6444158241835525,5.153199729800925e-4,0.00103010911016137,0.6,0.9994842813868672
BLK,2009,2011,2,3.1044695020563533,0.8361918355276051,0.004326348182492,0.00861542304515122,0.899641577060932,0.9954990949207284
BLK,2009,2012,3,-2.4768802828775502,1.1692889475714745,7.60798748937846e-4,0.00152044074845643,0.999175917397838,0.9901900637594402
BLK,2009,2013,4,4.595732302343233,1.0725712400633929,0.00123840533281728,0.00247374716395468,0.8762376237623761,0.998750640394912
BLK,2009,2014,5,3.8663644911320354,1.626970212482495,0.00232291065007991,0.00463505448273818,0.8869778869778869,0.9976339568595232
BLK,2009,2015,6,4.7457292955208965,0.8799207929434384,0.0020892438555945,0.00416977603223446,0.7579617834394905,0.9978969969693252
BLK,2009,2016,7,3.1807546949208234,0.8395881730159371,0.00278180401529573,0.00554817409760917,0.9304677623261692,0.99711063775435
BLK,2009,2017,8,4.101575073316591,1.296498958477562,0.00170273477692098,0.00339968079911488,0.8955696202531646,0.998272033033578
BLK,2009,2018,9,4.20772048500063,1.0813450611093314,0.00214906158181666,0.00428890604043381,0.8537414965986394,0.9978236369838892
BLK,2009,2019,10,-1.89936432235602,1.196827090942845,0.00118201248746909,0.00236123396690347,0.998642687478792,0.9909309186030478
BLK,2009,2021,12,5.762600385816433,0.96651847814068,0.00132093460368173,0.0026383840745416,0.5789473684210527,0.9986766618369568
BLK,2009,2022,13,6.890873725659229,1.26229020357943,5.647585295603034e-4,0.00112887951478578,0.4444444444444443,0.9994349861933464
BLK,2009,2023,14,5.3577911219935155,1.570193922169764,0.00133393867981952,0.00266432331571267,0.7159090909090909,0.9986615621271768
