basin,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
Terrebonne,1986,1987,1,0.41202817260211066,0.37992388023534807,0.5751338408541105,0.7302666299674525,0.08356030068634923,0.39303683957915025
Terrebonne,1986,1988,2,0.191509002687094,0.10313293696965595,0.6264009842347976,0.7702909556827547,0.14841417910447768,0.29683520562526744
Terrebonne,1986,1989,3,-0.19686195799801,0.16421692103235835,0.5941388018970646,0.7454041030680951,0.3211962627566138,0.17350489307720185
Terrebonne,1986,1990,4,0.2736891336945209,0.23162965989739995,0.5898357752383391,0.7420084318456279,0.14119721131500923,0.34682167386385093
Terrebonne,1986,1991,5,0.4948364730272297,0.5532116935925088,0.5162788585408524,0.68098141134498,0.10102622576966937,0.45192212261839454
Terrebonne,1986,1992,6,0.2232252626335725,0.43148391422406557,0.569919190323341,0.7260490779859317,0.18315770673334517,0.34657955941439345
Terrebonne,1986,1993,7,0.10753638092763171,0.5063685173504544,0.6012001059871156,0.7509368800803131,0.20643567303685179,0.28734443644203955
Terrebonne,1986,1994,8,0.3789818156767683,0.7368493658316257,0.506066709446923,0.6720375747934396,0.1731261534797881,0.43395684311795774
Terrebonne,1986,1995,9,0.35361689772705074,0.6860702035253982,0.5220405417610163,0.6859745551284858,0.1685269956731673,0.4161862947106628
Terrebonne,1986,1996,10,0.39961849118800874,0.5207685155651045,0.5256005798328962,0.6890408758109765,0.14171150841867722,0.4244524842422161
Terrebonne,1986,1997,11,0.6153864964038251,0.5902701381154891,0.43463706952405806,0.605919195533194,0.1364525595044017,0.5333113469758338
Terrebonne,1986,1998,12,0.234007234735419,0.25801056589678045,0.581040694008755,0.7350104221992119,0.16809549324284104,0.34166730176105314
Terrebonne,1986,1999,13,0.323193312313718,0.5614307104393186,0.5392415309074495,0.7006587596288977,0.1656792339916218,0.3960903337132632
Terrebonne,1986,2000,14,0.27020911181586066,0.7742844158610503,0.559496776578925,0.7175350215295675,0.17116151693754827,0.36741399295322874
Terrebonne,1986,2001,15,0.18272495721688256,0.41225841374175015,0.6147788231199135,0.7614402843506451,0.16223135083645895,0.3021410324226416
Terrebonne,1986,2002,16,0.07165153083071153,0.34049633485485076,0.621811557551411,0.7668111065754318,0.20470917425730778,0.25969938849451724
Terrebonne,1986,2003,17,0.27165203216606637,0.4063780527710544,0.5812501620753753,0.7351779952547042,0.15008632493897728,0.3522642931152443
Terrebonne,1986,2004,18,0.09016609428485418,0.3004064604531696,0.6390562819945536,0.7797856474054587,0.18342561171637803,0.25383114612895163
Terrebonne,1986,2005,19,0.35959122365701685,0.3826023878649225,0.5732264575515421,0.728727202368146,0.11359677271477035,0.38132460478728586
Terrebonne,1986,2006,20,0.16199106127764806,0.5900463189637185,0.5597200934921723,0.7177186417326634,0.21917604334107282,0.3359491980258939
Terrebonne,1986,2007,21,0.2899135419080155,0.5211605988056859,0.6080882114463781,0.7562871329047797,0.11653866761921779,0.33888091499124084
Terrebonne,1986,2008,22,0.23534605581642984,0.437344530731387,0.5382215221506506,0.6997971545712623,0.20735845686729765,0.37357751645134474
Terrebonne,1986,2009,23,-0.018491919254955087,0.37314873053359054,0.6637927145360196,0.797927180154928,0.20938262785021128,0.1946265819226999
Terrebonne,1986,2010,24,-0.06242412693149438,0.32910492903552413,0.623866507578834,0.7683716668422599,0.25487759178859293,0.20688150386035584
Terrebonne,1986,2011,25,0.34790866991504465,0.41592979898143173,0.5647457850897516,0.7218371066675966,0.12798363264378262,0.38421398574834337
Terrebonne,1986,2012,26,-0.28538028509818364,0.5602515031403926,0.4833561617952161,0.6517061434662319,0.4291939431942018,0.24067507518290765
Terrebonne,1986,2013,27,-0.20464570413377417,0.1963658833993764,0.645122459778686,0.7842850311161306,0.28828643384434255,0.12666323289552747
Terrebonne,1986,2014,28,0.140615772436391,0.5720320616040092,0.5756981687720122,0.7307213782201329,0.21411561588378888,0.3172055140975028
Terrebonne,1986,2015,29,0.01842845539256502,0.5341208878824103,0.5488453504181163,0.7087154960564056,0.28469369530273264,0.29775496646383093
Terrebonne,1986,2016,30,0.7138613345517606,0.3968495852322619,0.38853560791356273,0.5596336250928169,0.14883632923368018,0.5831430559517303
Terrebonne,1986,2017,31,-0.11187769108407165,0.5176699279551513,0.5506036260397325,0.7101797220041117,0.32740525656923997,0.2477861375590919
Terrebonne,1986,2018,32,0.26621402652280046,0.529779960417284,0.581924468457898,0.735717134491476,0.15208072870155384,0.35026056986815973
Terrebonne,1986,2019,33,-0.229733221231001,1.0921141141363802,0.42730375242209784,0.598756573990609,0.46269213803399956,0.32392470618962577
Terrebonne,1987,1988,1,-0.22051916991501672,0.31642837550075364,0.6255245223174093,0.7696279123807223,0.30652589891468485,0.13542931678136103
Terrebonne,1987,1989,2,-0.6088901306001205,0.4301729786267252,0.5157902877104643,0.6805562641380203,0.47462613100902185,0.034157988989852076
Terrebonne,1987,1990,3,-0.13833903890758975,0.25778854226116077,0.6914552453973788,0.8175862143310012,0.23522846298761899,0.12176326801176622
Terrebonne,1987,1991,4,0.08280830042511902,0.31759854520188235,0.6861317145358238,0.8138530443627998,0.15101554890147545,0.2184863849905618
Terrebonne,1987,1992,5,-0.1888029099685382,0.16064607341351408,0.6370624833593705,0.778299533261641,0.28865381202332696,0.14083402326898772
Terrebonne,1987,1993,6,-0.304491791674479,0.5321241605058503,0.6470579783348939,0.7857136625986199,0.31741200918203194,0.07445455434888962
Terrebonne,1987,1994,7,-0.03304635692534234,0.44632730740285614,0.650724753645152,0.7884109718573167,0.2244031865729327,0.19834433381810046
